"Titre de tracé : expe_inrae4"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 20254784, SEN S/N: 20254784)","Intensité, Lux (LGR S/N: 20254784, SEN S/N: 20254784)","Coupleur attaché (LGR S/N: 20254784)","Coupleur détaché (LGR S/N: 20254784)","Hôte connecté (LGR S/N: 20254784)","Arrêté (LGR S/N: 20254784)","Fin de fichier (LGR S/N: 20254784)"
99,07/12/24 11:00:00 PM,19.377,0.0,,,,,
100,07/13/24 12:00:00 AM,18.996,0.0,,,,,
101,07/13/24 01:00:00 AM,18.140,0.0,,,,,
102,07/13/24 02:00:00 AM,17.665,0.0,,,,,
103,07/13/24 03:00:00 AM,17.379,0.0,,,,,
104,07/13/24 04:00:00 AM,16.999,0.0,,,,,
105,07/13/24 05:00:00 AM,16.237,0.0,,,,,
106,07/13/24 06:00:00 AM,15.855,226.0,,,,,
107,07/13/24 07:00:00 AM,16.332,4305.6,,,,,
108,07/13/24 08:00:00 AM,17.094,8611.2,,,,,
109,07/13/24 09:00:00 AM,17.379,8611.2,,,,,
110,07/13/24 10:00:00 AM,21.091,37200.2,,,,,
111,07/13/24 11:00:00 AM,27.370,49600.3,,,,,
112,07/13/24 12:00:00 PM,37.494,85422.8,,,,,
113,07/13/24 01:00:00 PM,36.837,68889.3,,,,,
114,07/13/24 02:00:00 PM,40.645,82667.2,,,,,
115,07/13/24 03:00:00 PM,42.878,88178.4,,,,,
116,07/13/24 04:00:00 PM,45.577,68889.3,,,,,
117,07/13/24 05:00:00 PM,36.837,44089.2,,,,,
118,07/13/24 06:00:00 PM,42.164,66133.8,,,,,
119,07/13/24 07:00:00 PM,41.810,46844.8,,,,,
120,07/13/24 08:00:00 PM,29.152,3444.5,,,,,
121,07/13/24 09:00:00 PM,25.028,1173.3,,,,,
122,07/13/24 10:00:00 PM,22.142,0.0,,,,,
123,07/13/24 11:00:00 PM,19.948,0.0,,,,,
124,07/14/24 12:00:00 AM,18.331,0.0,,,,,
125,07/14/24 01:00:00 AM,17.094,0.0,,,,,
126,07/14/24 02:00:00 AM,16.141,0.0,,,,,
127,07/14/24 03:00:00 AM,15.378,0.0,,,,,
128,07/14/24 04:00:00 AM,14.804,0.0,,,,,
129,07/14/24 05:00:00 AM,14.325,0.0,,,,,
130,07/14/24 06:00:00 AM,13.942,161.5,,,,,
131,07/14/24 07:00:00 AM,14.038,1324.0,,,,,
132,07/14/24 08:00:00 AM,14.804,2411.1,,,,,
133,07/14/24 09:00:00 AM,16.046,4477.8,,,,,
134,07/14/24 10:00:00 AM,17.950,19977.9,,,,,
135,07/14/24 11:00:00 AM,34.585,77156.1,,,,,
136,07/14/24 12:00:00 PM,42.639,99200.7,,,,,
137,07/14/24 01:00:00 PM,47.109,143289.8,,,,,
138,07/14/24 02:00:00 PM,38.157,44089.2,,,,,
139,07/14/24 03:00:00 PM,47.892,57867.0,,,,,
140,07/14/24 04:00:00 PM,40.992,37200.2,,,,,
141,07/14/24 05:00:00 PM,37.055,28933.5,,,,,
142,07/14/24 06:00:00 PM,33.535,20666.8,,,,,
143,07/14/24 07:00:00 PM,32.188,11711.2,,,,,
144,07/14/24 08:00:00 PM,29.152,6200.0,,,,,
145,07/14/24 09:00:00 PM,26.585,613.5,,,,,
146,07/14/24 10:00:00 PM,24.545,0.0,,,,,
147,07/14/24 11:00:00 PM,23.196,0.0,,,,,
148,07/15/24 12:00:00 AM,21.664,0.0,,,,,
149,07/15/24 01:00:00 AM,20.519,0.0,,,,,
150,07/15/24 02:00:00 AM,19.662,0.0,,,,,
151,07/15/24 03:00:00 AM,18.806,0.0,,,,,
152,07/15/24 04:00:00 AM,18.236,0.0,,,,,
153,07/15/24 05:00:00 AM,17.855,0.0,,,,,
154,07/15/24 06:00:00 AM,17.379,301.4,,,,,
155,07/15/24 07:00:00 AM,17.475,1227.1,,,,,
156,07/15/24 08:00:00 AM,18.236,2755.6,,,,,
157,07/15/24 09:00:00 AM,19.567,4650.0,,,,,
158,07/15/24 10:00:00 AM,22.142,23422.4,,,,,
159,07/15/24 11:00:00 AM,37.384,74400.5,,,,,
160,07/15/24 12:00:00 PM,47.238,121245.2,,,,,
161,07/15/24 01:00:00 PM,51.720,143289.8,,,,,
162,07/15/24 02:00:00 PM,55.117,88178.4,,,,,
163,07/15/24 03:00:00 PM,54.507,55111.5,,,,,
164,07/15/24 04:00:00 PM,54.659,132267.5,,,,,
165,07/15/24 05:00:00 PM,48.687,30311.3,,,,,
166,07/15/24 06:00:00 PM,42.878,28933.5,,,,,
167,07/15/24 07:00:00 PM,35.542,9300.1,,,,,
168,07/15/24 08:00:00 PM,31.983,3616.7,,,,,
169,07/15/24 09:00:00 PM,29.152,387.5,,,,,
170,07/15/24 10:00:00 PM,27.173,0.0,,,,,
171,07/15/24 11:00:00 PM,25.708,0.0,,,,,
172,07/16/24 12:00:00 AM,24.641,0.0,,,,,
173,07/16/24 01:00:00 AM,23.966,0.0,,,,,
174,07/16/24 02:00:00 AM,23.196,0.0,,,,,
175,07/16/24 03:00:00 AM,22.333,0.0,,,,,
176,07/16/24 04:00:00 AM,22.142,0.0,,,,,
177,07/16/24 05:00:00 AM,21.378,0.0,,,,,
178,07/16/24 06:00:00 AM,20.996,53.8,,,,,
179,07/16/24 07:00:00 AM,21.091,2238.9,,,,,
180,07/16/24 08:00:00 AM,22.429,7233.4,,,,,
181,07/16/24 09:00:00 AM,22.812,6200.0,,,,,
182,07/16/24 10:00:00 AM,25.805,34444.7,,,,,
183,07/16/24 11:00:00 AM,36.511,74400.5,,,,,
184,07/16/24 12:00:00 PM,43.601,79911.6,,,,,
185,07/16/24 01:00:00 PM,45.201,99200.7,,,,,
186,07/16/24 02:00:00 PM,52.727,28933.5,,,,,
187,07/16/24 03:00:00 PM,49.905,74400.5,,,,,
188,07/16/24 04:00:00 PM,48.421,52355.9,,,,,
189,07/16/24 05:00:00 PM,48.687,60622.6,,,,,
190,07/16/24 06:00:00 PM,41.810,33066.9,,,,,
191,07/16/24 07:00:00 PM,42.758,23422.4,,,,,
192,07/16/24 08:00:00 PM,33.430,7577.8,,,,,
193,07/16/24 09:00:00 PM,28.953,570.5,,,,,
194,07/16/24 10:00:00 PM,25.805,0.0,,,,,
195,07/16/24 11:00:00 PM,24.158,0.0,,,,,
196,07/17/24 12:00:00 AM,22.812,0.0,,,,,
197,07/17/24 01:00:00 AM,22.142,0.0,,,,,
198,07/17/24 02:00:00 AM,21.282,0.0,,,,,
